,Name,Rating,Review,Salaries,Jobs
185,Hindalco Industries,4.2,3.7k,11.7k,269
186,Reliance Communications,4.0,3.7k,9.7k,102
187,Cummins,4.3,3.7k,15.3k,269
188,State Street Corporation,3.6,3.7k,30k,271
189,RBL Bank,3.5,3.7k,18.1k,225
190,Carelon Global Solutions,3.8,3.7k,26.1k,401
191,XpressBees,4.2,3.7k,8k,430
192,Bank of America,4.2,3.7k,27.3k,276
193,PVR Inox,3.9,3.6k,9.3k,196
194,Publicis Sapient,3.4,3.6k,29.8k,668
195,Alembic Pharmaceuticals,3.9,3.6k,14.8k,243
196,Subros,3.8,3.6k,12.4k,209
197,American Express,4.1,3.6k,23.5k,407
198,Viatris,4.1,3.6k,14.1k,156
199,Pidilite Industries,4.2,3.6k,11.1k,245
200,Kogta Financial India Limited,4.7,3.6k,1.7k,178
201,Automatic Data Processing (ADP),3.9,3.6k,21.4k,281
202,Escorts Kubota Limited,4.1,3.5k,12.9k,269
203,Sodexo,4.0,3.5k,9.8k,193
204,PNB MetLife,3.4,3.5k,7.9k,180
205,Maersk,4.0,3.5k,18.4k,240
206,Aditya Birla Sun Life Insurance,4.0,3.5k,9.8k,166
207,Samvardhana Motherson Group,3.7,3.5k,12.2k,249
208,Godrej & Boyce Manufacturing,3.9,3.5k,14.7k,214
209,Abbott,4.1,3.5k,11.3k,172
210,Dabur,3.9,3.5k,8.5k,320
211,Synechron,3.5,3.5k,27.3k,398
212,Birlasoft,3.5,3.5k,29.3k,309
213,Bharat Electronics,4.2,3.5k,12.2k,237
214,Cogent E Services,3.2,3.5k,9.9k,285
215,Grasim Industries,4.0,3.4k,12.2k,262
216,Kyndryl,3.9,3.4k,25k,212
217,Glenmark Pharmaceuticals,3.8,3.4k,11.6k,170
218,Kotak Mahindara Life Insurance,3.5,3.4k,12.5k,254
219,Tata Capital,4.0,3.4k,11k,183
220,Aarti Industries,4.0,3.4k,13.9k,314
221,JK Cement,4.0,3.4k,9.6k,317
222,Indian Oil Corporation,4.4,3.4k,7.6k,230
223,KPIT Technologies,3.0,3.4k,22.1k,330
224,Ipca Laboratories,3.9,3.4k,11.4k,186
